COUNTRY_REGION,Total_Cases,Total_Deaths,Population_2020,Area_km2,Cases_per_Million,Deaths_per_Million,CFR_%,Cases_per_km2,Deaths_per_km2,Population_Density_Calc
Afghanistan,49273.0,1971.0,38972230,652230,1264.3105103300477,50.574473156911985,4.00016236072494,0.07554543642580071,0.003021940113150269,59.75228063719853
Albania,48530.0,1003.0,2866849,28748,16927.99306834786,349.8614681135979,2.066762827117247,1.6881174342562961,0.03488938360929456,99.72342423820787
Algeria,92102.0,2596.0,43451666,2381741,2119.642547192552,59.744544662568295,2.8186141451868583,0.03867003171209632,0.0010899589837853906,18.243657055909942
Andorra,7338.0,79.0,77700,468,94440.15444015444,1016.7310167310167,1.076587626056146,15.679487179487179,0.16880341880341881,166.02564102564102
Angola,16188.0,371.0,33428485,1246700,484.2576622901098,11.098319292663128,2.291821102050902,0.01298467955402262,0.00029758562605277934,26.813575840218174
Anguilla,10.0,0.0,15585,91,641.6426050689765,0.0,0.0,0.10989010989010989,0.0,171.26373626373626
Antigua and Barbuda,148.0,4.0,92664,442,1597.1682638349305,43.1667098333765,2.7027027027027026,0.334841628959276,0.00904977375565611,209.64705882352942
Argentina,1498160.0,40766.0,45036032,2780400,33265.80814224485,905.1863183683678,2.721071180648262,0.5388289454754711,0.014661919148323982,16.197680909221695
Armenia,148682.0,2503.0,2805608,29743,52994.57372519611,892.141738974226,1.683458656730472,4.998890495242578,0.08415425478263794,94.32834616548432
Aruba,5049.0,46.0,106585,180,47370.64314866069,431.5804287657738,0.9110714993067934,28.05,0.25555555555555554,592.1388888888889
Australia,28031.0,908.0,25670051,7692024,1091.9728986903845,35.371959331128714,3.2392708073204663,0.0036441643967829534,0.00011804435347575619,3.3372297070315953
Azerbaijan,175874.0,1922.0,10284951,86600,17100.130083264372,186.87497879182897,1.0928278199165313,2.0308775981524247,0.022193995381062356,118.76386836027713
Austria,320036.0,4400.0,8907777,83871,35927.7067667949,493.9503986235847,1.3748453299003862,3.8158123785337006,0.05246151828403143,106.20806953535786
Bahamas,7674.0,163.0,406471,13943,18879.575664684566,401.0126183663779,2.1240552514985667,0.5503837050849889,0.011690453991250089,29.152334504769417
Bahrain,89143.0,348.0,1477469,765,60334.93765351422,235.5379368365766,0.39038398976924715,116.52679738562091,0.4549019607843137,1931.332026143791
Bangladesh,490533.0,7052.0,167420951,147570,2929.937962184912,42.12137105827335,1.4376198950937042,3.3240699329131935,0.047787490682388016,1134.5188791759842
Barbados,292.0,7.0,280693,430,1040.2824438087164,24.93827776253772,2.3972602739726026,0.6790697674418604,0.01627906976744186,652.7744186046511
Belarus,160295.0,1263.0,9633740,207600,16638.916973055115,131.10173203760948,0.7879222683177891,0.7721339113680155,0.0060838150289017345,46.40529865125241
Belize,9295.0,195.0,394921,22966,23536.35284018829,493.76964000395014,2.097902097902098,0.40472872942610816,0.008490812505442829,17.195898284420448
Bermuda,431.0,9.0,64031,54,6731.114616357701,140.55691774296824,2.088167053364269,7.981481481481482,0.16666666666666666,1185.7592592592594
"Bolivia, Plurinational State of",147150.0,9018.0,11936162,1098581,12328.083348734712,755.5192364178704,6.128440366972477,0.1339455169896439,0.008208771132943314,10.86507230691228
Bosnia and Herzegovina,101117.0,3336.0,3318407,51209,30471.548547239687,1005.3016402147175,3.29914851113067,1.9745943095940166,0.06514479876584194,64.80124587474857
Botswana,12501.0,37.0,2546402,582000,4909.279838768584,14.530305898283146,0.29597632189424844,0.02147938144329897,6.357388316151203e-05,4.375261168384879
Bhutan,438.0,0.0,772506,38394,566.9858874882525,0.0,0.0,0.011408032505078918,0.0,20.12048757618378
Brunei Darussalam,152.0,3.0,441725,5765,344.10549550059426,6.791555832248571,1.9736842105263157,0.026366001734605377,0.0005203816131830009,76.62185602775368
Bulgaria,179449.0,5688.0,6979175,110879,25712.064821415137,814.9960417957709,3.169702812498259,1.6184218833142434,0.05129916395349886,62.944065152102745
Burundi,729.0,1.0,12220227,27834,59.6551929845493,0.08183154044519796,0.1371742112482853,0.026190989437378746,3.592728317884602e-05,439.0395559387799
Cambodia,359.0,0.0,16396860,181035,21.894435885895227,0.0,0.0,0.001983041953213467,0.0,90.57287264893529
Cameroon,25143.0,443.0,26491087,475442,949.1116766933724,16.72260560693489,1.7619218072624585,0.05288342216295573,0.0009317645475157853,55.71886160667337
Cayman Islands,298.0,2.0,67311,264,4427.211005630581,29.712825541144838,0.6711409395973155,1.128787878787879,0.007575757575757576,254.9659090909091
Chad,1770.0,102.0,16644701,1284000,106.34014993720824,6.128076437059458,5.762711864406779,0.0013785046728971963,7.94392523364486e-05,12.96316277258567
China,92021.0,4739.0,1424929781,9706961,64.57932259330047,3.32577791775411,5.1499114332598,0.009479897982489062,0.00048820635006156923,146.794633356413
Colombia,1425774.0,39053.0,50930662,1141748,27994.41326719845,766.7875984019214,2.7390736540293203,1.2487641756324512,0.0342045705357049,44.607620946128215
Comoros,628.0,7.0,806166,1862,778.9958891841135,8.683075197912093,1.1146496815286624,0.3372717508055854,0.0037593984962406013,432.95703544575724
Costa Rica,150947.0,1895.0,5123105,51100,29463.967652429532,369.8928677042536,1.2554075271452894,2.953953033268102,0.037084148727984344,100.25645792563601
Croatia,175886.0,2640.0,4096868,56594,42931.820112339476,644.394693702604,1.5009722206429166,3.107855956461816,0.04664805456408807,72.39050075979786
Cyprus,15101.0,78.0,1237537,9251,12202.463441497102,63.028418544253626,0.5165220846301569,1.6323640687493244,0.00843152091665766,133.77332180304833
Dominica,87.0,0.0,71995,751,1208.417251198,0.0,0.0,0.11584553928095873,0.0,95.86551264980027
Dominican Republic,154692.0,2361.0,10999664,48671,14063.338661980948,214.64292000192006,1.5262586300519743,3.1783197386534074,0.048509379301842986,226.00036983008363
Ethiopia,116769.0,1806.0,117190911,1104300,996.3997975918116,15.410751436175795,1.5466433728129898,0.10574028796522685,0.0016354251562075523,106.12234990491714
Faroe Islands,528.0,0.0,52415,1393,10073.452256033577,0.0,0.0,0.37903804737975594,0.0,37.627422828427854
Eswatini,6768.0,127.0,1180655,17364,5732.411246299724,107.56740961584883,1.8764775413711583,0.3897719419488597,0.007313982953236582,67.9944137295554
Ghana,53014.0,327.0,32180401,238533,1647.4002297236757,10.161464426748442,0.6168181989663107,0.22225017083590112,0.0013708795009495542,134.90963933711478
